Time,Ask,Bid,AskVolume,BidVolume
31.01.2014 00:00:01.874,1.47860,1.47660,2.7500,1.6200
31.01.2014 00:00:03.377,1.47859,1.47659,1.9500,2.3500
31.01.2014 00:00:04.586,1.47857,1.47657,2.3200,1.3500
31.01.2014 00:00:06.092,1.47860,1.47660,1.6100,2.3000
31.01.2014 00:00:07.509,1.47859,1.47659,2.9700,1.8700
31.01.2014 00:00:08.790,1.47859,1.47659,2.1300,1.7400
31.01.2014 00:00:10.327,1.47860,1.47660,1.4600,1.7400
31.01.2014 00:00:11.759,1.47860,1.47660,2.7300,2.5600
31.01.2014 00:00:13.028,1.47860,1.47660,2.4800,1.2100
31.01.2014 00:00:14.483,1.47858,1.47658,1.3500,1.3700
31.01.2014 00:00:15.949,1.47858,1.47658,2.5300,1.6700
31.01.2014 00:00:17.398,1.47859,1.47659,2.8400,2.0000
31.01.2014 00:00:18.732,1.47858,1.47658,2.0500,2.1400
31.01.2014 00:00:20.011,1.47861,1.47661,2.6000,2.1600
31.01.2014 00:00:21.554,1.47860,1.47660,2.3900,1.7100
31.01.2014 00:00:22.973,1.47860,1.47660,1.7300,2.3000
31.01.2014 00:00:24.371,1.47859,1.47659,2.5600,2.2200
31.01.2014 00:00:25.810,1.47859,1.47659,2.0200,2.8500
31.01.2014 00:00:27.281,1.47861,1.47661,1.2500,2.3500
31.01.2014 00:00:28.776,1.47860,1.47660,1.7900,1.3500
31.01.2014 00:00:30.127,1.47859,1.47659,2.0100,2.8500
31.01.2014 00:00:31.431,1.47856,1.47656,2.8200,2.8600
31.01.2014 00:00:33.010,1.47856,1.47656,2.3300,1.1200
31.01.2014 00:00:34.505,1.47855,1.47655,2.7900,2.4700
31.01.2014 00:00:36.138,1.47856,1.47656,2.4400,1.0500
31.01.2014 00:00:37.656,1.47854,1.47654,2.0900,1.8200
31.01.2014 00:00:38.995,1.47852,1.47652,2.7200,1.3200
31.01.2014 00:00:40.305,1.47853,1.47653,2.1200,1.1600
31.01.2014 00:00:41.690,1.47852,1.47652,2.4800,2.6100
31.01.2014 00:00:43.093,1.47851,1.47651,1.2300,2.8100
31.01.2014 00:00:44.520,1.47850,1.47650,1.3800,2.9300
31.01.2014 00:00:46.020,1.47853,1.47653,1.6500,2.5600
31.01.2014 00:00:47.422,1.47852,1.47652,2.6500,1.9300
31.01.2014 00:00:48.946,1.47851,1.47651,1.8500,1.5200
31.01.2014 00:00:50.482,1.47847,1.47647,1.5300,1.2100
31.01.2014 00:00:51.899,1.47848,1.47648,2.3100,2.0700
31.01.2014 00:00:53.476,1.47847,1.47647,1.8900,2.9600
31.01.2014 00:00:54.934,1.47849,1.47649,2.8400,1.5700
31.01.2014 00:00:56.312,1.47849,1.47649,2.8400,1.4300
31.01.2014 00:00:57.675,1.47850,1.47650,2.0700,1.8700
31.01.2014 00:00:58.998,1.47849,1.47649,1.7700,1.0900
31.01.2014 00:01:00.544,1.47848,1.47648,1.0600,1.5200
31.01.2014 00:01:01.954,1.47848,1.47648,1.6700,1.3200
31.01.2014 00:01:03.277,1.47847,1.47647,2.7500,1.3900
31.01.2014 00:01:04.559,1.47846,1.47646,2.7300,2.5700
31.01.2014 00:01:06.053,1.47849,1.47649,1.6300,1.1500
31.01.2014 00:01:07.523,1.47846,1.47646,2.0800,2.8500
31.01.2014 00:01:09.023,1.47847,1.47647,2.3800,1.9100
31.01.2014 00:01:10.415,1.47845,1.47645,1.7400,2.2900
31.01.2014 00:01:11.870,1.47844,1.47644,2.2000,2.2200
31.01.2014 00:01:13.279,1.47845,1.47645,1.1000,1.5100
31.01.2014 00:01:14.581,1.47843,1.47643,2.6600,1.3800
31.01.2014 00:01:15.980,1.47843,1.47643,1.0800,2.4100
31.01.2014 00:01:17.432,1.47841,1.47641,2.5000,1.5800
31.01.2014 00:01:18.626,1.47840,1.47640,2.0200,1.5600
31.01.2014 00:01:19.989,1.47841,1.47641,2.4700,1.3500
31.01.2014 00:01:21.357,1.47840,1.47640,2.5700,1.1600
31.01.2014 00:01:22.801,1.47842,1.47642,1.5500,2.8000
31.01.2014 00:01:24.091,1.47842,1.47642,2.8300,1.6700
31.01.2014 00:01:25.336,1.47841,1.47641,1.9700,1.4700
31.01.2014 00:01:26.731,1.47842,1.47642,2.3100,1.0700
31.01.2014 00:01:28.277,1.47843,1.47643,1.2700,1.7700
31.01.2014 00:01:29.901,1.47840,1.47640,1.9500,2.6300
31.01.2014 00:01:31.247,1.47840,1.47640,2.4700,2.6300
31.01.2014 00:01:32.615,1.47841,1.47641,1.6700,2.1800
31.01.2014 00:01:34.008,1.47842,1.47642,1.3800,1.3200
31.01.2014 00:01:35.441,1.47843,1.47643,2.7000,2.2800
31.01.2014 00:01:36.860,1.47842,1.47642,2.0700,2.9700
31.01.2014 00:01:38.439,1.47841,1.47641,1.6300,1.9800
31.01.2014 00:01:39.961,1.47840,1.47640,1.1100,1.2000
31.01.2014 00:01:41.312,1.47837,1.47637,1.5900,2.2700
31.01.2014 00:01:42.522,1.47839,1.47639,1.4900,1.6700
31.01.2014 00:01:43.884,1.47838,1.47638,1.8200,1.0900
31.01.2014 00:01:45.253,1.47838,1.47638,1.4100,2.2500
31.01.2014 00:01:46.673,1.47836,1.47636,2.9600,2.9600
31.01.2014 00:01:48.151,1.47837,1.47637,2.1000,1.3600
31.01.2014 00:01:49.446,1.47836,1.47636,2.9200,2.5400
31.01.2014 00:01:50.870,1.47840,1.47640,1.5800,1.4500
31.01.2014 00:01:52.396,1.47842,1.47642,2.1400,2.3600
31.01.2014 00:01:53.878,1.47841,1.47641,1.7300,2.6300
31.01.2014 00:01:55.385,1.47840,1.47640,2.2100,1.8800
31.01.2014 00:01:56.854,1.47841,1.47641,1.5700,1.9600
31.01.2014 00:01:58.370,1.47840,1.47640,1.7300,1.6000
31.01.2014 00:01:59.705,1.47841,1.47641,1.9600,1.2300
31.01.2014 00:02:01.151,1.47839,1.47639,1.6500,1.9300
31.01.2014 00:02:02.601,1.47837,1.47637,2.4700,1.2000
31.01.2014 00:02:03.994,1.47836,1.47636,2.3800,1.3200
31.01.2014 00:02:05.303,1.47834,1.47634,1.1500,2.0100
31.01.2014 00:02:06.788,1.47833,1.47633,1.4200,1.7900
31.01.2014 00:02:08.144,1.47832,1.47632,2.2600,1.3100
31.01.2014 00:02:09.539,1.47835,1.47635,1.9100,2.4600
31.01.2014 00:02:10.935,1.47836,1.47636,1.4000,2.3100
31.01.2014 00:02:12.351,1.47836,1.47636,2.2400,1.6900
31.01.2014 00:02:13.585,1.47835,1.47635,1.9500,2.7400
31.01.2014 00:02:14.932,1.47831,1.47631,1.7800,1.7700
31.01.2014 00:02:16.192,1.47831,1.47631,2.6900,2.3100
31.01.2014 00:02:17.430,1.47829,1.47629,1.8800,1.9300
31.01.2014 00:02:18.675,1.47827,1.47627,2.8600,1.3700
31.01.2014 00:02:20.004,1.47828,1.47628,1.8800,2.2900
31.01.2014 00:02:21.369,1.47828,1.47628,1.4200,1.9700
31.01.2014 00:02:22.625,1.47828,1.47628,1.7600,1.9000
31.01.2014 00:02:24.189,1.47831,1.47631,1.8500,1.9300
31.01.2014 00:02:25.573,1.47830,1.47630,1.9600,2.9300
31.01.2014 00:02:26.818,1.47831,1.47631,1.3100,1.7000
31.01.2014 00:02:28.234,1.47829,1.47629,1.2900,2.5700
31.01.2014 00:02:29.698,1.47829,1.47629,2.0100,1.8100
31.01.2014 00:02:30.980,1.47827,1.47627,2.2700,1.0200
31.01.2014 00:02:32.444,1.47827,1.47627,2.8200,2.8700
31.01.2014 00:02:33.687,1.47828,1.47628,2.5000,2.0300
31.01.2014 00:02:35.028,1.47830,1.47630,2.1600,2.7400
31.01.2014 00:02:36.567,1.47829,1.47629,2.2500,1.7800
31.01.2014 00:02:38.039,1.47829,1.47629,2.1700,2.0000
31.01.2014 00:02:39.276,1.47832,1.47632,1.3600,1.5000
31.01.2014 00:02:40.721,1.47830,1.47630,2.2000,2.4000
31.01.2014 00:02:42.149,1.47828,1.47628,2.8200,2.3000
31.01.2014 00:02:43.653,1.47831,1.47631,1.5800,1.4800
31.01.2014 00:02:45.062,1.47832,1.47632,2.1700,1.6200
31.01.2014 00:02:46.460,1.47829,1.47629,2.0300,2.9300
31.01.2014 00:02:47.800,1.47827,1.47627,1.3600,2.8900
31.01.2014 00:02:49.237,1.47826,1.47626,1.2100,1.8200
31.01.2014 00:02:50.682,1.47827,1.47627,2.4800,1.4900
31.01.2014 00:02:52.160,1.47826,1.47626,2.7500,1.2800
31.01.2014 00:02:53.495,1.47826,1.47626,1.9400,2.6300
31.01.2014 00:02:54.898,1.47825,1.47625,1.3400,2.2800
