Time,Ask,Bid,AskVolume,BidVolume
03.01.2014 00:00:01.940,1.49952,1.49752,1.6500,2.0100
03.01.2014 00:00:03.431,1.49953,1.49753,1.7700,1.4100
03.01.2014 00:00:04.687,1.49955,1.49755,1.1800,2.3500
03.01.2014 00:00:06.261,1.49955,1.49755,2.1400,1.7000
03.01.2014 00:00:07.607,1.49956,1.49756,2.5500,1.5100
03.01.2014 00:00:09.015,1.49957,1.49757,1.7800,2.8700
03.01.2014 00:00:10.486,1.49958,1.49758,2.8500,2.0400
03.01.2014 00:00:11.873,1.49957,1.49757,1.9500,2.6200
03.01.2014 00:00:13.250,1.49957,1.49757,2.8400,1.5300
03.01.2014 00:00:14.739,1.49957,1.49757,2.6000,1.2500
03.01.2014 00:00:16.165,1.49957,1.49757,1.6000,1.9500
03.01.2014 00:00:17.602,1.49957,1.49757,2.6500,2.1800
03.01.2014 00:00:19.013,1.49959,1.49759,1.1400,1.1500
03.01.2014 00:00:20.480,1.49959,1.49759,1.4700,2.2800
03.01.2014 00:00:21.803,1.49959,1.49759,1.8300,2.3800
03.01.2014 00:00:23.323,1.49958,1.49758,2.5800,1.4200
03.01.2014 00:00:24.774,1.49961,1.49761,2.4300,2.5500
03.01.2014 00:00:26.203,1.49963,1.49763,2.7500,1.7800
03.01.2014 00:00:27.504,1.49962,1.49762,1.0900,1.5300
03.01.2014 00:00:28.919,1.49960,1.49760,1.1700,2.9100
03.01.2014 00:00:30.218,1.49960,1.49760,1.9400,1.0500
03.01.2014 00:00:31.681,1.49959,1.49759,1.6200,1.8500
03.01.2014 00:00:33.084,1.49960,1.49760,1.1300,1.4100
03.01.2014 00:00:34.483,1.49961,1.49761,2.4900,1.2400
03.01.2014 00:00:35.958,1.49962,1.49762,2.1100,2.8500
03.01.2014 00:00:37.238,1.49962,1.49762,1.4400,2.3300
03.01.2014 00:00:38.661,1.49963,1.49763,2.8000,1.8800
03.01.2014 00:00:40.068,1.49960,1.49760,1.1800,1.7700
03.01.2014 00:00:41.681,1.49959,1.49759,2.1100,1.4800
03.01.2014 00:00:42.938,1.49958,1.49758,1.0100,2.3900
03.01.2014 00:00:44.295,1.49955,1.49755,2.0300,2.2900
03.01.2014 00:00:45.660,1.49955,1.49755,2.5800,2.3600
03.01.2014 00:00:47.088,1.49954,1.49754,1.7700,1.0900
03.01.2014 00:00:48.592,1.49955,1.49755,2.4700,1.5100
03.01.2014 00:00:50.083,1.49953,1.49753,1.9500,2.6900
03.01.2014 00:00:51.549,1.49956,1.49756,2.2700,1.1400
03.01.2014 00:00:53.039,1.49955,1.49755,1.4900,1.4700
03.01.2014 00:00:54.565,1.49955,1.49755,2.9900,1.5700
03.01.2014 00:00:56.070,1.49955,1.49755,2.1600,1.8300
03.01.2014 00:00:57.419,1.49959,1.49759,2.2100,2.3500
03.01.2014 00:00:59.011,1.49958,1.49758,2.9200,1.5600
03.01.2014 00:01:00.414,1.49957,1.49757,1.6500,1.7800
03.01.2014 00:01:01.757,1.49956,1.49756,1.3900,2.0900
03.01.2014 00:01:03.077,1.49954,1.49754,1.0400,2.2400
03.01.2014 00:01:04.627,1.49954,1.49754,2.5800,2.1900
03.01.2014 00:01:06.129,1.49956,1.49756,1.5300,2.2000
03.01.2014 00:01:07.470,1.49954,1.49754,2.9800,1.2800
03.01.2014 00:01:08.846,1.49955,1.49755,2.8600,1.6600
03.01.2014 00:01:10.119,1.49954,1.49754,1.4300,1.0600
03.01.2014 00:01:11.370,1.49953,1.49753,2.8700,1.4000
03.01.2014 00:01:12.697,1.49953,1.49753,1.0200,2.1800
03.01.2014 00:01:14.005,1.49954,1.49754,2.9300,1.4100
03.01.2014 00:01:15.340,1.49954,1.49754,2.8100,1.0900
03.01.2014 00:01:16.729,1.49957,1.49757,1.7100,1.6300
03.01.2014 00:01:18.192,1.49959,1.49759,2.3000,1.6100
03.01.2014 00:01:19.644,1.49957,1.49757,2.1600,1.7900
03.01.2014 00:01:21.030,1.49956,1.49756,1.4000,1.3100
03.01.2014 00:01:22.464,1.49955,1.49755,2.1300,1.8900
03.01.2014 00:01:23.923,1.49955,1.49755,2.4100,1.1900
03.01.2014 00:01:25.290,1.49957,1.49757,2.3500,2.3200
03.01.2014 00:01:26.575,1.49959,1.49759,2.0600,1.5000
03.01.2014 00:01:28.051,1.49958,1.49758,1.5500,2.1900
03.01.2014 00:01:29.494,1.49957,1.49757,1.4200,2.8300
03.01.2014 00:01:31.105,1.49960,1.49760,1.2000,2.6600
03.01.2014 00:01:32.397,1.49958,1.49758,1.3100,1.7800
03.01.2014 00:01:33.942,1.49958,1.49758,1.8300,1.9800
03.01.2014 00:01:35.258,1.49956,1.49756,1.2600,1.0400
03.01.2014 00:01:36.662,1.49958,1.49758,2.5800,1.6000
03.01.2014 00:01:38.044,1.49957,1.49757,1.5400,2.1800
03.01.2014 00:01:39.696,1.49956,1.49756,1.8500,1.6700
03.01.2014 00:01:40.993,1.49956,1.49756,1.7500,1.3600
03.01.2014 00:01:42.356,1.49954,1.49754,1.1300,1.2700
