Time,Ask,Bid,AskVolume,BidVolume
01.01.2014 00:00:01.449,1.50100,1.49900,2.4600,2.2000
01.01.2014 00:00:02.826,1.50099,1.49899,1.1200,2.7300
01.01.2014 00:00:04.384,1.50101,1.49901,1.0400,2.9400
01.01.2014 00:00:05.737,1.50102,1.49902,1.3600,1.3700
01.01.2014 00:00:07.161,1.50098,1.49898,1.8600,1.5800
01.01.2014 00:00:08.460,1.50099,1.49899,1.5800,1.7300
01.01.2014 00:00:10.006,1.50099,1.49899,1.4000,2.0300
01.01.2014 00:00:11.352,1.50099,1.49899,2.2200,1.3400
01.01.2014 00:00:12.692,1.50098,1.49898,2.3700,1.8800
01.01.2014 00:00:14.090,1.50097,1.49897,1.0700,2.8200
01.01.2014 00:00:15.573,1.50094,1.49894,1.6200,2.0400
01.01.2014 00:00:16.840,1.50095,1.49895,2.9400,2.5500
01.01.2014 00:00:18.314,1.50095,1.49895,1.1800,1.3900
01.01.2014 00:00:19.702,1.50095,1.49895,1.7800,1.5400
01.01.2014 00:00:21.056,1.50096,1.49896,1.5600,2.0900
01.01.2014 00:00:22.488,1.50096,1.49896,1.1500,2.9700
01.01.2014 00:00:23.821,1.50097,1.49897,1.0100,2.6300
01.01.2014 00:00:25.324,1.50098,1.49898,2.5400,1.1500
01.01.2014 00:00:26.640,1.50098,1.49898,2.7300,2.2500
01.01.2014 00:00:27.992,1.50097,1.49897,1.6200,1.6500
01.01.2014 00:00:29.473,1.50100,1.49900,2.7700,1.9400
01.01.2014 00:00:30.909,1.50099,1.49899,2.5200,2.1200
01.01.2014 00:00:32.306,1.50101,1.49901,2.0500,1.8600
01.01.2014 00:00:33.715,1.50101,1.49901,1.6300,2.0200
01.01.2014 00:00:35.093,1.50101,1.49901,1.8200,2.5100
01.01.2014 00:00:36.412,1.50100,1.49900,2.8600,2.6200
01.01.2014 00:00:37.903,1.50101,1.49901,2.6100,1.3700
01.01.2014 00:00:39.313,1.50103,1.49903,2.6100,2.7900
01.01.2014 00:00:40.643,1.50102,1.49902,1.4600,1.8500
01.01.2014 00:00:42.072,1.50103,1.49903,1.0100,2.0200
01.01.2014 00:00:43.331,1.50102,1.49902,1.2400,1.6800
01.01.2014 00:00:44.715,1.50103,1.49903,2.0400,2.4100
01.01.2014 00:00:46.140,1.50102,1.49902,2.9200,1.5000
01.01.2014 00:00:47.349,1.50102,1.49902,1.5700,1.0700
01.01.2014 00:00:48.755,1.50106,1.49906,1.1000,1.5600
01.01.2014 00:00:50.135,1.50107,1.49907,1.2900,1.9800
01.01.2014 00:00:51.650,1.50108,1.49908,1.4800,2.4600
01.01.2014 00:00:53.190,1.50106,1.49906,2.2700,2.0700
01.01.2014 00:00:54.491,1.50105,1.49905,1.0800,2.1800
01.01.2014 00:00:55.736,1.50105,1.49905,2.2900,1.3500
01.01.2014 00:00:57.044,1.50107,1.49907,2.8700,1.2800
01.01.2014 00:00:58.366,1.50107,1.49907,2.8500,2.7500
01.01.2014 00:00:59.847,1.50105,1.49905,2.6300,2.1100
01.01.2014 00:01:01.086,1.50105,1.49905,1.1900,2.7900
01.01.2014 00:01:02.512,1.50106,1.49906,1.6800,1.7000
01.01.2014 00:01:03.964,1.50107,1.49907,2.7700,2.5600
01.01.2014 00:01:05.296,1.50107,1.49907,1.3200,2.8000
01.01.2014 00:01:06.726,1.50106,1.49906,1.0100,1.3200
01.01.2014 00:01:08.312,1.50107,1.49907,2.3000,1.4500
01.01.2014 00:01:09.615,1.50108,1.49908,1.6500,2.4900
01.01.2014 00:01:11.111,1.50109,1.49909,2.3200,2.1400
01.01.2014 00:01:12.487,1.50108,1.49908,1.5300,1.4900
01.01.2014 00:01:13.879,1.50108,1.49908,2.7800,2.2600
01.01.2014 00:01:15.280,1.50110,1.49910,2.1500,1.9900
01.01.2014 00:01:16.743,1.50109,1.49909,1.5600,1.0500
01.01.2014 00:01:18.036,1.50110,1.49910,2.8800,2.9100
01.01.2014 00:01:19.413,1.50111,1.49911,1.0300,2.8600
01.01.2014 00:01:20.861,1.50111,1.49911,2.9300,2.7100
01.01.2014 00:01:22.176,1.50108,1.49908,2.7000,1.6300
01.01.2014 00:01:23.597,1.50106,1.49906,2.8700,2.3900
01.01.2014 00:01:24.909,1.50107,1.49907,2.2300,2.9800
01.01.2014 00:01:26.315,1.50105,1.49905,2.7500,2.4800
01.01.2014 00:01:27.823,1.50107,1.49907,1.7200,1.5900
01.01.2014 00:01:29.275,1.50107,1.49907,2.7300,2.8300
01.01.2014 00:01:30.726,1.50114,1.49914,2.6000,2.3000
01.01.2014 00:01:32.221,1.50115,1.49915,2.7800,1.6800
01.01.2014 00:01:33.544,1.50115,1.49915,2.1600,1.0700
01.01.2014 00:01:35.176,1.50111,1.49911,1.5700,2.1800
01.01.2014 00:01:36.528,1.50113,1.49913,1.2500,2.0400
01.01.2014 00:01:37.857,1.50114,1.49914,2.2500,1.1700
01.01.2014 00:01:39.261,1.50113,1.49913,2.0800,2.2700
01.01.2014 00:01:40.459,1.50113,1.49913,2.5900,1.5400
01.01.2014 00:01:41.780,1.50113,1.49913,1.0500,2.9300
01.01.2014 00:01:43.230,1.50114,1.49914,1.8200,1.3500
01.01.2014 00:01:44.583,1.50113,1.49913,2.1000,2.4300
01.01.2014 00:01:45.857,1.50115,1.49915,2.9100,2.4800
01.01.2014 00:01:47.469,1.50117,1.49917,1.8400,1.5000
01.01.2014 00:01:48.996,1.50115,1.49915,1.0300,1.2300
01.01.2014 00:01:50.440,1.50117,1.49917,1.9500,1.2000
01.01.2014 00:01:51.516,1.50115,1.49915,1.3500,1.8700
01.01.2014 00:01:53.079,1.50113,1.49913,2.2700,1.0900
01.01.2014 00:01:54.623,1.50110,1.49910,2.0100,2.7100
01.01.2014 00:01:55.925,1.50111,1.49911,1.1400,2.2800
01.01.2014 00:01:57.332,1.50110,1.49910,2.8800,2.1500
01.01.2014 00:01:58.891,1.50108,1.49908,1.9200,2.0900
01.01.2014 00:02:00.275,1.50109,1.49909,2.9200,2.8100
01.01.2014 00:02:01.704,1.50108,1.49908,1.1400,1.6400
01.01.2014 00:02:03.045,1.50109,1.49909,1.2400,2.3900
01.01.2014 00:02:04.535,1.50110,1.49910,2.4700,2.6100
01.01.2014 00:02:05.852,1.50109,1.49909,2.5000,2.6100
01.01.2014 00:02:07.250,1.50109,1.49909,1.7400,2.5500
01.01.2014 00:02:08.704,1.50109,1.49909,2.7200,1.8600
01.01.2014 00:02:10.187,1.50110,1.49910,1.2100,2.8100
01.01.2014 00:02:11.717,1.50110,1.49910,1.6400,2.7900
01.01.2014 00:02:13.150,1.50110,1.49910,2.9000,2.1500
01.01.2014 00:02:14.468,1.50113,1.49913,1.5900,1.6600
01.01.2014 00:02:15.984,1.50115,1.49915,2.5800,2.5800
01.01.2014 00:02:17.383,1.50113,1.49913,1.1200,2.1000
01.01.2014 00:02:18.880,1.50113,1.49913,1.7000,1.2300
01.01.2014 00:02:20.321,1.50112,1.49912,2.2400,1.2000
01.01.2014 00:02:21.746,1.50111,1.49911,1.1500,2.6400
01.01.2014 00:02:23.099,1.50112,1.49912,1.1700,2.9700
01.01.2014 00:02:24.354,1.50109,1.49909,2.6300,2.8900
01.01.2014 00:02:25.682,1.50109,1.49909,2.5500,2.1200
01.01.2014 00:02:27.168,1.50109,1.49909,1.2200,1.9900
01.01.2014 00:02:28.566,1.50108,1.49908,1.1100,1.2400
01.01.2014 00:02:29.998,1.50107,1.49907,2.4900,2.1700
